distancia,rssi,snr
90,-91,6.5
90,-100,4.2
90,-102,4.2
90,-103,6.0
90,-95,0.5
90,-97,6.8
90,-103,4.2
90,-106,-0.2
90,-84,3.2
90,-97,2.2
90,-99,7.2
90,-98,6.2
90,-104,3.0
90,-96,5.8
90,-97,7.0
90,-102,-1.0
90,-98,6.2
90,-101,4.8
90,-97,1.8
55,-107,8.0
55,-87,9.8
55,-89,8.2
55,-87,8.5
55,-87,5.2
55,-93,10.0
55,-87,7.8
55,-89,6.2
55,-84,8.8
55,-84,8.0
55,-84,8.8
55,-107,5.5
55,-85,8.0
55,-103,9.2
55,-89,5.0
55,-113,9.0
55,-113,7.0
55,-85,9.2
55,-89,8.0
55,-88,5.0
111,-70,9.2
111,-70,8.8
111,-71,7.5
111,-69,9.2
111,-71,8.5
111,-71,9.0
111,-71,8.2
111,-70,7.0
111,-71,10.2
111,-72,7.0
111,-69,8.5
111,-70,7.2
111,-71,9.2
111,-70,9.2
111,-70,9.2
111,-71,9.0
111,-70,9.8
111,-70,8.5
111,-70,7.5
111,-72,8.2
111,-72,10.0
58,-86,7.5
58,-101,6.0
58,-85,7.0
58,-107,8.2
58,-86,8.5
58,-94,7.5
58,-90,8.8
58,-89,9.0
58,-88,5.5
58,-93,6.5
58,-91,7.5
58,-93,6.8
58,-91,6.0
58,-103,8.5
58,-113,7.8
58,-88,6.5
58,-87,5.2
58,-109,6.8
58,-89,7.2
58,-107,9.5
58,-84,7.8
86,-87,9.2
86,-88,8.8
86,-86,7.0
86,-90,6.2
86,-97,4.8
86,-94,8.5
86,-87,5.0
86,-94,2.8
86,-89,5.0
86,-89,7.2
86,-90,6.5
86,-97,3.2
86,-90,8.8
86,-96,4.8
86,-94,2.8
86,-94,7.8
86,-92,6.2
86,-85,8.0
86,-76,3.0
86,-90,7.8
86,-87,7.5
90,-88,6.8
90,-89,6.2
90,-90,7.5
90,-87,8.2
90,-88,8.0
90,-90,5.8
90,-91,7.8
90,-89,6.2
90,-89,3.0
90,-91,6.2
90,-90,9.2
90,-93,8.2
90,-89,9.0
90,-89,9.0
90,-87,5.5
90,-90,8.2
90,-89,6.2
90,-91,2.5
90,-91,7.2
90,-90,6.5
90,-89,1.2
90,-88,7.5
86,-79,6.2
86,-78,9.5
86,-77,8.0
86,-78,8.5
86,-79,7.5
86,-78,6.8
86,-77,8.8
86,-77,8.8
86,-78,8.5
86,-79,6.5
86,-77,8.8
86,-77,7.0
86,-77,9.0
86,-77,9.2
86,-78,7.2
86,-79,8.0
86,-77,8.8
86,-79,7.5
86,-78,7.0
86,-78,8.2
86,-77,9.2
86,-77,6.8
111,-101,7.0
111,-97,4.2
111,-98,3.5
111,-95,7.5
111,-99,-3.5
111,-97,4.0
111,-100,7.2
111,-97,0.2
111,-97,5.0
111,-96,5.8
111,-101,-2.8
111,-107,0.2
111,-107,0.2
111,-105,4.2
111,-103,1.8
111,-78,8.5
111,-79,8.0
111,-78,9.5
111,-82,7.8
111,-78,8.5
111,-80,8.5
111,-78,8.0
111,-79,8.8
111,-82,8.2
111,-75,8.0
111,-82,9.0
111,-79,7.5
111,-76,7.5
111,-78,8.2
111,-72,7.2
111,-79,7.5
111,-79,8.8
111,-101,5.8
111,-81,9.2
111,-78,6.5
111,-79,10.0
111,-103,-2.5
111,-105,4.5
111,-102,-4.0
111,-108,4.0
111,-109,-2.0
111,-104,3.2
111,-106,1.2
111,-103,2.8
111,-91,-2.0
111,-99,0.2
111,-105,3.0
111,-109,-2.0
111,-107,-6.0
86,-103,-2.5
86,-105,4.5
86,-102,-4.0
86,-108,4.0
86,-109,-2.0
86,-104,3.2
86,-106,1.2
86,-103,2.8
86,-91,-2.0
86,-99,0.2
86,-105,3.0
86,-109,-2.0
86,-107,-6.0
111,-78,8.5
111,-79,8.0
111,-78,9.5
111,-82,7.8
111,-78,8.5
111,-80,8.5
111,-78,8.0
111,-79,8.8
111,-82,8.2
111,-75,8.0
111,-82,9.0
111,-79,7.5
111,-76,7.5
111,-78,8.2
111,-72,7.2
111,-79,7.5
111,-79,8.8
111,-101,5.8
111,-81,9.2
111,-78,6.5
111,-79,10.0
86,-103,-2.5
86,-105,4.5
86,-102,-4.0
86,-108,4.0
86,-109,-2.0
86,-104,3.2
86,-106,1.2
86,-103,2.8
86,-91,-2.0
86,-99,0.2
86,-105,3.0
86,-109,-2.0
86,-107,-6.0
91,-87,9.8
91,-89,8.5
91,-84,10.2
91,-91,8.0
91,-97,8.2
91,-97,7.0
91,-82,9.2
91,-84,10.0
91,-113,8.0
91,-95,-1.5
91,-91,4.5
91,-103,9.0
91,-87,6.5
91,-107,9.2
91,-88,6.0
91,-107,8.8
91,-87,8.8
91,-91,2.0
91,-89,7.8
91,-96,6.5
91,-95,7.2
91,-85,5.8
91,-93,9.5
91,-89,6.8
91,-86,9.0
91,-93,6.8
91,-87,6.0
91,-101,7.0
91,-85,8.2
91,-89,8.5
91,-87,6.5
91,-85,8.8
91,-85,7.5
91,-85,8.5
91,-85,8.0
91,-84,4.8
91,-84,8.0
91,-84,8.5
91,-84,8.5
91,-85,6.2
91,-85,7.5
91,-84,7.0
91,-87,8.2
91,-84,8.5
55,-111,4.0
55,-102,4.0
55,-85,4.2
55,-101,4.0
55,-109,3.5
55,-103,3.8
55,-87,2.2
55,-95,3.8
55,-99,6.2
55,-95,3.0
55,-121,7.0
55,-101,6.5
55,-115,3.8
55,-99,4.2
55,-109,3.8
55,-105,7.2
55,-99,2.0
55,-102,5.5
55,-101,2.8
55,-109,8.5
55,-101,6.0
55,-99,5.2
